standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,0.1,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.42,0.10661999999999999,1.2,-0.08,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,0,1,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,1,0,1
0.5,0.10661999999999999,-0.39338,-1.5453369870275768,-1.5453369870275768,0.67,0.10661999999999999,1.2,0.17,1,0,1
